"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000096006",1899.59683070287,-1.14007344879443,0.292677060611159,-3.89532902378397,9.80655179190855e-05,0.0150427684649135
"ENSG00000127418",502.255091795122,-0.999590091341523,0.254655239245804,-3.92526811661893,8.66331892834045e-05,0.0150427684649135
"ENSG00000138696",499.972384302128,-0.962670706760352,0.246846373331547,-3.89987786236324,9.62412262140379e-05,0.0150427684649135
"ENSG00000146070",329.917734873209,-1.19081926570783,0.306746798041064,-3.88209191852237,0.000103561714670267,0.0150427684649135
"ENSG00000169710",2665.46226664455,-1.03784750428855,0.267403189536593,-3.88120839578288,0.000103938726830432,0.0150427684649135
"ENSG00000132386",343.688179787449,0.912584084571786,0.242619875556311,3.7613739702046,0.00016898255977338,0.0228766364792358
"ENSG00000134755",291.370287673754,-1.00567074377415,0.26867380409808,-3.74309191456204,0.00018176970067962,0.0228766364792358
"ENSG00000167757",486.151398298568,-1.16737308212955,0.311978967080247,-3.74183264036925,0.000182683164375339,0.0228766364792358
"ENSG00000210194",265.540776931966,1.42195812164174,0.380587289933447,3.73622072847045,0.000186806704918383,0.0228766364792358
"ENSG00000157110",474.392854318024,0.934936049906995,0.251861993828708,3.71209659581607,0.00020554950699218,0.0242396159356704
"ENSG00000049089",487.041161736864,-0.905109192193261,0.245788101616757,-3.68247765550729,0.0002309781185321,0.0257800635354426
"ENSG00000086205",1444.47387814427,-0.985987097936543,0.269139482107022,-3.66347995551417,0.00024881169534677,0.0257800635354426
"ENSG00000168280",721.182673798949,-0.909460055019583,0.247555159826242,-3.67376731576886,0.000239000391689892,0.0257800635354426
"ENSG00000182718",389.525685863652,0.916380951810146,0.250292640889592,3.66123809534767,0.000250999362311156,0.0257800635354426
"ENSG00000249669",233.51379454187,1.0881490314356,0.301318884766161,3.61128719920778,0.000304681028539742,0.0303157623397044
"ENSG00000087245",526.021425485217,0.855008523531008,0.237576810924907,3.59887196146116,0.000319600484796662,0.03083660435129
"ENSG00000198467",1965.60249333437,1.03169563786532,0.288937231649229,3.57065661623629,0.000356087463811608,0.0333465436698871
"ENSG00000012660",1413.86119163965,-0.848775515132782,0.238314256412375,-3.56158094740281,0.000368628418129804,0.0335346538092941
"ENSG00000163431",806.211741717313,0.989804523419411,0.280739984305953,3.52569843539179,0.000422367620169532,0.0366020340426565
"ENSG00000196353",832.805263244297,-0.801451337762115,0.227436793462121,-3.52384205546582,0.000425337707153986,0.0366020340426565
"ENSG00000100097",459.288828193544,0.841169811048552,0.243001732431753,3.46157948188618,0.000537015523496259,0.0392849962419123
"ENSG00000106624",1289.68603143238,0.772326072670887,0.22122192253882,3.49118235574215,0.000480887908450648,0.0392849962419123
"ENSG00000134612",373.214817568784,-1.04675902265027,0.301337745839586,-3.47370695209057,0.00051332133305394,0.0392849962419123
"ENSG00000159403",753.333247144179,0.885292678379171,0.255964558178188,3.45865335685607,0.000542883113895773,0.0392849962419123
"ENSG00000188559",651.792613171271,-0.782584160431696,0.225051494808392,-3.47735597623105,0.000506385020041666,0.0392849962419123
"ENSG00000196586",942.764319172896,-0.916404292124379,0.262846258983195,-3.48646503727858,0.000489449357081254,0.0392849962419123
"ENSG00000244731",252.485219109494,1.0592413319017,0.305931666821925,3.46234616019093,0.000535487946339595,0.0392849962419123
"ENSG00000135480",270.573623980656,1.0409325915048,0.302444930030195,3.44172604050884,0.000578015321003927,0.0408977951572557
"ENSG00000151150",366.004554055654,-0.839180669707706,0.244603165337074,-3.43078417873815,0.000601839219466946,0.0416577407561469
"ENSG00000149131",635.102290072076,0.855132591704652,0.250366958012186,3.4155169615594,0.000636610645701144,0.0431269850194137
"ENSG00000149591",3515.76467994485,0.910687326939968,0.268018560638241,3.39785171881873,0.000679172216143008,0.0450517570041529
"ENSG00000140396",272.215245849093,-0.855079912689735,0.252130156926647,-3.3914226013769,0.00069530798697685,0.0451808291945774
"ENSG00000211896",1470.43375693867,-0.916222199592426,0.272108599928304,-3.36711959796139,0.000759577390867863,0.0483698882504655
"ENSG00000064393",855.159679579828,-0.788336822809266,0.234802506389533,-3.35744637027609,0.000786660024776806,0.0491122650762618
"ENSG00000143797",343.795638714232,-1.02829034300271,0.308618594928446,-3.33191311184965,0.000862511806232216,0.0528122613662188
"ENSG00000012223",2891.54248369776,2.3448796038191,0.710199205844784,3.30172096014928,0.000960936146597744,0.0533181448476738
"ENSG00000102287",346.811082870328,0.815947167286729,0.248334412252534,3.28567901599149,0.00101736871922491,0.0533181448476738
"ENSG00000138814",1570.73913157593,-0.697155313222185,0.21092368546277,-3.30524906054346,0.000948920351348724,0.0533181448476738
"ENSG00000152583",1898.66483103143,0.856318659702478,0.260623627255936,3.28565245107867,0.00101746466234804,0.0533181448476738
"ENSG00000154305",782.312475677318,-0.770048431890208,0.234054962546597,-3.29003249284621,0.00100175814147888,0.0533181448476738
"ENSG00000160191",481.606343061191,-0.866782914811768,0.262008970745149,-3.3082184642253,0.000938915354624221,0.0533181448476738
"ENSG00000171992",371.085931772201,0.781917077791054,0.238059735115617,3.28454149296312,0.00102148455895355,0.0533181448476738
"ENSG00000185215",502.468904872602,0.957675106767325,0.290416833562982,3.29758814259517,0.000975190612793009,0.0533181448476738
"ENSG00000205542",734.161793799633,0.786080155300515,0.23856179121024,3.29507986720202,0.000983937107360963,0.0533181448476738
"ENSG00000215105",303.70731260551,-0.835882818937339,0.255424122497142,-3.27252888554679,0.00106589980383297,0.054739112506519
"ENSG00000184012",3783.53982105121,-0.939422508487583,0.28787361981436,-3.26331571852046,0.0011011677225595,0.0556526671211022
"ENSG00000157388",405.682893021066,-0.908266935645406,0.279600670740372,-3.24844333613489,0.00116038318036601,0.0559796976709904
"ENSG00000173442",435.331022095894,0.784715903119716,0.241022453346307,3.25577925303173,0.00113081632834279,0.0559796976709904
"ENSG00000198959",1596.20197573563,0.984294610148617,0.302843191236425,3.25017909806727,0.00115332349909642,0.0559796976709904
"ENSG00000162645",237.844138109331,0.888916677584802,0.277680593006153,3.20122003472207,0.00136846987750682,0.0650329565668913
"ENSG00000072163",233.11052862094,0.951729642692905,0.299295559296474,3.17989897655029,0.00147326403707118,0.0689834219710977
"ENSG00000205189",338.875094462866,-0.840662783591916,0.266795269502679,-3.15096585167705,0.00162731515085814,0.075092339714961
"ENSG00000120885",928.299452747477,0.832189750908114,0.265405743394501,3.1355378382718,0.00171539297787064,0.076926918894931
"ENSG00000161970",295.645005795396,0.977611749772248,0.311761046931895,3.13577260338688,0.00171402048686697,0.076926918894931
"ENSG00000145703",341.389541010823,-0.776992930585787,0.248851928800633,-3.12231026028443,0.00179437727380111,0.0782643457504486
"ENSG00000183723",557.69093098969,-0.719534274059319,0.230328276951094,-3.12395109963897,0.00178440109432737,0.0782643457504486
"ENSG00000130176",1518.8611933612,0.914937255380348,0.294102742856833,3.11094431317743,0.00186490104224475,0.0802411475473958
"ENSG00000188783",450.685080898627,0.792732005227264,0.255321703277716,3.10483595812849,0.00190384580702802,0.0808246006610294
"ENSG00000111799",387.304808857686,0.75051729036802,0.242212439398752,3.09859102295093,0.00194443230339299,0.0814227368358752
"ENSG00000146674",331.147812540598,0.84843911999334,0.274151885273271,3.09477762353386,0.00196960508356192,0.0814227368358752
"ENSG00000182326",1006.99848747643,0.755438381757815,0.244397183023991,3.09102736950801,0.00199465247273815,0.0814227368358752
"ENSG00000050165",377.312053623416,0.751041212533137,0.243780497030362,3.08080925948558,0.00206438847529652,0.0832026950043558
"ENSG00000112796",304.838735401174,-0.791094945311074,0.259215482749911,-3.05188153469334,0.00227411832877887,0.0905099094853992
"ENSG00000155093",521.260690254645,-0.862973433728084,0.283661674828579,-3.04226305597889,0.00234806596244207,0.092299284252044
"ENSG00000111341",2391.56881851207,0.834814821117671,0.276229865685399,3.02217437294941,0.00250965933969763,0.0923306221341224
"ENSG00000133392",15087.2320253561,0.886093437840171,0.292729344360594,3.02700584997946,0.00246989178367603,0.0923306221341224
"ENSG00000138593",344.037402728023,-0.798694735854108,0.263127042910677,-3.0353958567658,0.00240220168172069,0.0923306221341224
"ENSG00000140545",446.241362343251,0.761395541422428,0.250963870635521,3.03388507474932,0.00241426381105352,0.0923306221341224
"ENSG00000141469",355.940082250404,0.931559705451744,0.308373362836572,3.02088253305276,0.00252039117809214,0.0923306221341224
"ENSG00000147394",282.595569614108,0.975171977816699,0.322841888533214,3.0205868954839,0.00252285305454417,0.0923306221341224
"ENSG00000072195",276.935792490194,0.855845777253271,0.284333736851274,3.01000432354933,0.00261243970961481,0.0934607644428488
"ENSG00000112715",1232.8796253502,-0.946520788177303,0.314395645754579,-3.01060399836507,0.00260728644339054,0.0934607644428488
"ENSG00000112297",720.945326742467,-0.711238828925421,0.237878873260475,-2.98992011849082,0.00279050413031307,0.0955372596872776
"ENSG00000123983",999.863470930017,-0.6701299979009,0.223412547918421,-2.9995181745369,0.00270406990604709,0.0955372596872776
"ENSG00000153234",368.913734379962,-0.75477681206317,0.252274517162287,-2.99188685624409,0.00277259000404036,0.0955372596872776
"ENSG00000162614",237.521820639406,0.966571570377667,0.323233833802513,2.99031682112899,0.0027868822567693,0.0955372596872776
"ENSG00000035862",1125.90279826744,0.656142271303473,0.222332465684856,2.95117615541366,0.00316566316972172,0.0981154870599932
"ENSG00000046604",391.837100779432,-0.711779738880006,0.240529775290133,-2.95921674570826,0.00308422091587789,0.0981154870599932
"ENSG00000049540",245.746771025821,0.747368912324228,0.254310080604107,2.93880962386104,0.00329475383820265,0.0981154870599932
"ENSG00000074527",298.714477235575,0.731234226693647,0.24902886881231,2.9363432046297,0.0033210666420826,0.0981154870599932
"ENSG00000111319",372.818815742208,0.769340643181078,0.262513007812876,2.93067627235248,0.0033822504352506,0.0981154870599932
"ENSG00000131771",391.927347587085,0.78789039158969,0.268986993164144,2.92910219308966,0.00339942637851907,0.0981154870599932
"ENSG00000135090",528.759913006212,-0.674658676856299,0.230480581902791,-2.92718228705639,0.00342048337426484,0.0981154870599932
"ENSG00000135678",292.250777428715,0.803014188084198,0.271850136346328,2.95388554472228,0.003138003639594,0.0981154870599932
"ENSG00000136068",2985.54837084188,-0.628116987108831,0.213936377488526,-2.93599898475667,0.00332475410606929,0.0981154870599932
"ENSG00000143947",332.67143590617,0.903385832110613,0.306065221853309,2.95161216501622,0.00316119709791739,0.0981154870599932
"ENSG00000149273",1027.26348385779,0.687683667421136,0.232916797646187,2.95248635723459,0.00315225999253602,0.0981154870599932
"ENSG00000149451",236.329943514464,0.968266019287804,0.33019357411719,2.93241932971159,0.00336332287059257,0.0981154870599932
"ENSG00000155111",682.128370174817,-0.706642350052399,0.238663114304742,-2.96083603916317,0.00306805222730932,0.0981154870599932
"ENSG00000162896",323.985313106472,1.0091493267003,0.339245731220759,2.97468540891857,0.00293289156103976,0.0981154870599932
